panel_id,cnn_score,predicted_label,ground_truth_label,match
0,0.0001,normal,normal,True
1,0.0,normal,normal,True
2,1.0,tekil_panel,tekil_panel,True
3,0.0055,normal,normal,True
4,1.0,tekil_panel,hat_arizasi,False
5,0.9998,hat_arizasi,hat_arizasi,True
6,0.9993,hat_arizasi,string_arizasi,False
7,0.9956,hat_arizasi,string_arizasi,False
8,1.0,hat_arizasi,hat_arizasi,True
9,1.0,hat_arizasi,hat_arizasi,True
10,1.0,hat_arizasi,hat_arizasi,True
11,0.9832,hat_arizasi,string_arizasi,False
12,0.0968,normal,normal,True
13,0.386,normal,string_arizasi,False
14,1.0,hat_arizasi,hat_arizasi,True
15,1.0,hat_arizasi,hat_arizasi,True
16,0.4489,normal,string_arizasi,False
17,1.0,hat_arizasi,string_arizasi,False
18,0.0,normal,normal,True
19,1.0,hat_arizasi,string_arizasi,False
20,0.0096,normal,normal,True
21,0.9934,hat_arizasi,string_arizasi,False
22,0.0003,normal,normal,True
23,0.1178,normal,normal,True
24,0.0,normal,normal,True
25,1.0,hat_arizasi,hat_arizasi,True
26,1.0,tekil_panel,tekil_panel,True
27,0.0026,normal,normal,True
28,1.0,tekil_panel,tekil_panel,True
29,1.0,tekil_panel,tekil_panel,True
30,0.0147,normal,normal,True
31,1.0,hat_arizasi,hat_arizasi,True
32,0.946,hat_arizasi,string_arizasi,False
33,1.0,hat_arizasi,string_arizasi,False
34,0.5626,normal,normal,True
35,1.0,tekil_panel,tekil_panel,True
36,0.6369,normal,normal,True
37,1.0,tekil_panel,string_arizasi,False
38,0.0,normal,string_arizasi,False
39,0.0169,normal,normal,True
40,0.0069,normal,normal,True
41,0.0425,normal,normal,True
42,1.0,hat_arizasi,string_arizasi,False
43,1.0,hat_arizasi,hat_arizasi,True
44,0.1544,normal,normal,True
45,0.0224,normal,normal,True
46,1.0,hat_arizasi,string_arizasi,False
47,0.2791,normal,normal,True
48,0.0236,normal,normal,True
49,1.0,tekil_panel,tekil_panel,True
50,0.0111,normal,normal,True
51,1.0,tekil_panel,tekil_panel,True
52,1.0,hat_arizasi,hat_arizasi,True
53,1.0,tekil_panel,tekil_panel,True
54,0.0,normal,normal,True
55,0.0,normal,normal,True
56,0.0,normal,normal,True
57,0.0,normal,normal,True
58,0.365,normal,normal,True
59,1.0,hat_arizasi,hat_arizasi,True
60,0.0395,normal,normal,True
61,1.0,hat_arizasi,hat_arizasi,True
62,1.0,hat_arizasi,hat_arizasi,True
63,1.0,hat_arizasi,hat_arizasi,True
64,1.0,hat_arizasi,hat_arizasi,True
65,1.0,hat_arizasi,hat_arizasi,True
66,1.0,hat_arizasi,hat_arizasi,True
67,1.0,hat_arizasi,hat_arizasi,True
68,1.0,hat_arizasi,hat_arizasi,True
69,1.0,hat_arizasi,hat_arizasi,True
70,0.027,normal,normal,True
71,1.0,hat_arizasi,hat_arizasi,True
72,0.0802,normal,normal,True
73,0.9983,tekil_panel,tekil_panel,True
74,0.0,normal,normal,True
75,0.4088,normal,normal,True
76,1.0,tekil_panel,tekil_panel,True
77,0.0001,normal,normal,True
78,0.0,normal,normal,True
79,0.0,normal,normal,True
80,0.0058,normal,normal,True
81,1.0,tekil_panel,tekil_panel,True
82,0.0001,normal,normal,True
83,0.0001,normal,normal,True
84,0.0,normal,normal,True
85,0.0,normal,normal,True
86,0.0002,normal,normal,True
87,0.0932,normal,normal,True
88,1.0,tekil_panel,tekil_panel,True
89,0.0004,normal,normal,True
90,0.1898,normal,normal,True
91,1.0,tekil_panel,tekil_panel,True
92,0.0,normal,normal,True
93,0.001,normal,normal,True
94,0.0,normal,normal,True
95,0.0,normal,normal,True
96,0.0006,normal,normal,True
97,0.0002,normal,normal,True
98,0.0001,normal,normal,True
99,0.0,normal,normal,True
100,0.0014,normal,normal,True
101,1.0,hat_arizasi,hat_arizasi,True
102,0.9993,hat_arizasi,normal,False
103,1.0,hat_arizasi,tekil_panel,False
104,0.005,normal,normal,True
105,0.0008,normal,normal,True
106,0.0001,normal,normal,True
107,0.0,normal,normal,True
108,0.0027,normal,normal,True
109,1.0,hat_arizasi,tekil_panel,False
110,0.0242,normal,normal,True
111,1.0,hat_arizasi,hat_arizasi,True
112,0.9894,hat_arizasi,normal,False
113,0.0007,normal,normal,True
114,0.0,normal,normal,True
115,0.0,normal,normal,True
116,0.0039,normal,normal,True
117,1.0,hat_arizasi,string_arizasi,False
118,0.0036,normal,normal,True
119,0.8991,hat_arizasi,normal,False
120,1.0,hat_arizasi,hat_arizasi,True
121,0.451,normal,normal,True
122,0.1142,normal,normal,True
123,0.0001,normal,normal,True
124,0.0008,normal,normal,True
125,0.0047,normal,normal,True
126,0.0158,normal,normal,True
127,1.0,hat_arizasi,string_arizasi,False
128,0.8309,hat_arizasi,string_arizasi,False
129,0.3327,normal,normal,True
130,0.9999,hat_arizasi,hat_arizasi,True
131,0.0002,normal,normal,True
132,0.0836,normal,normal,True
133,0.0623,normal,normal,True
134,1.0,hat_arizasi,tekil_panel,False
135,0.8102,hat_arizasi,normal,False
136,0.0087,normal,normal,True
137,0.0015,normal,normal,True
138,0.0023,normal,normal,True
139,0.0001,normal,normal,True
140,0.0,normal,normal,True
141,0.0,normal,normal,True
142,0.0,normal,normal,True
